rule,category
# MISRA C:2012 (+ C:2023 amendments) rule categories as mandated for ASIL-C.
# Source: safety_critical_2.md Section 1 (Directives + Rules).
# category in {Mandatory, Required, Advisory}. Directives use "Dir x.y".
Dir 4.3,Required
Dir 4.4,Advisory
Dir 4.5,Advisory
Dir 4.6,Advisory
Dir 4.7,Required
Dir 4.8,Advisory
Dir 4.9,Advisory
Dir 4.10,Required
Dir 4.11,Required
Dir 4.12,Required
Dir 4.13,Advisory
Dir 4.14,Required
Dir 4.15,Required
Dir 5.1,Required
Dir 5.2,Required
1.1,Required
1.2,Advisory
1.4,Required
1.5,Required
2.1,Required
2.2,Required
2.3,Advisory
2.4,Advisory
2.5,Advisory
2.6,Advisory
2.7,Advisory
2.8,Advisory
3.1,Required
3.2,Required
4.1,Required
4.2,Advisory
5.1,Required
5.2,Required
5.3,Required
5.4,Required
5.5,Required
5.6,Required
5.7,Required
5.8,Required
5.9,Advisory
6.1,Required
6.2,Required
6.3,Required
7.1,Required
7.2,Required
7.3,Required
7.4,Required
7.5,Mandatory
7.6,Required
8.1,Required
8.2,Required
8.3,Required
8.4,Required
8.5,Required
8.6,Required
8.7,Advisory
8.8,Required
8.9,Advisory
8.10,Required
8.11,Advisory
8.12,Required
8.13,Advisory
8.14,Required
8.15,Required
8.16,Advisory
8.17,Advisory
9.1,Mandatory
9.2,Required
9.3,Required
9.4,Required
9.5,Required
9.6,Required
9.7,Mandatory
10.1,Required
10.2,Required
10.3,Required
10.4,Required
10.5,Advisory
10.6,Required
10.7,Required
10.8,Required
11.1,Required
11.2,Required
11.3,Required
11.4,Advisory
11.5,Advisory
11.6,Required
11.7,Required
11.8,Required
11.9,Required
11.10,Required
12.1,Advisory
12.2,Required
12.3,Advisory
12.4,Advisory
12.5,Mandatory
12.6,Required
13.1,Required
13.2,Required
13.3,Advisory
13.4,Advisory
13.5,Required
13.6,Required
14.1,Required
14.2,Required
14.3,Required
14.4,Required
15.1,Advisory
15.2,Required
15.3,Required
15.4,Advisory
15.5,Advisory
15.6,Required
15.7,Required
16.1,Required
16.2,Required
16.3,Required
16.4,Required
16.5,Required
16.6,Required
16.7,Required
17.1,Required
17.2,Required
17.3,Mandatory
17.4,Mandatory
17.5,Required
17.6,Mandatory
17.7,Required
17.8,Advisory
17.9,Mandatory
17.10,Required
17.11,Advisory
17.12,Advisory
17.13,Required
18.1,Required
18.2,Required
18.3,Required
18.4,Advisory
18.5,Advisory
18.6,Required
18.7,Required
18.8,Required
18.9,Required
18.10,Mandatory
19.1,Mandatory
19.2,Advisory
20.1,Advisory
20.2,Required
20.3,Required
20.4,Required
20.5,Advisory
20.6,Required
20.7,Required
20.8,Required
20.9,Required
20.10,Advisory
20.11,Required
20.12,Required
20.13,Required
20.14,Required
21.1,Required
21.2,Required
21.3,Required
21.4,Required
21.5,Required
21.6,Required
21.7,Required
21.8,Required
21.9,Required
21.10,Required
21.11,Advisory
21.12,Required
21.13,Mandatory
21.14,Required
21.15,Required
21.16,Required
21.17,Mandatory
21.18,Mandatory
21.19,Mandatory
21.20,Mandatory
21.21,Required
21.22,Mandatory
21.23,Required
21.24,Required
21.25,Required
21.26,Required
22.1,Required
22.2,Mandatory
22.3,Required
22.4,Mandatory
22.5,Mandatory
22.6,Mandatory
22.7,Required
22.8,Required
22.9,Required
22.10,Required
22.11,Required
22.12,Mandatory
22.13,Required
22.16,Required
22.17,Required
22.18,Required
22.19,Required
23.1,Advisory
23.2,Required
23.3,Advisory
23.4,Required
23.5,Advisory
23.6,Required
23.7,Advisory
23.8,Required
